figure,panel,endpoint,contrast,estimate,ci95_low,ci95_high,unit,n,test,alternative,p_raw,p_adjusted,p_adjust_method,statistics_status,source_file
fig1,a,schematic,,,,,not_applicable,,,,,,,not_applicable,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_a_statistics.csv
fig1,b,overall_recall,,90.945,90.60159261963565,91.28840738036433,percent,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_b_statistics.csv
fig1,c,population_spike_rate,,10824.130000000001,10718.354950074276,10929.905049925726,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,18656.98,18493.452824078693,18820.507175921306,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,21357.09,21163.771214035525,21550.408785964475,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,7365.609999999999,7306.954223300862,7424.265776699135,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,12671.98,12576.901276187982,12767.058723812017,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,14531.090000000002,14418.994193362629,14643.185806637375,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.01,-0.010930240544082629,0.03093024054408263,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
fig1,c,population_spike_rate,,0.0,0.0,0.0,Hz,20,,,,,,descriptive_only,results\paper_figure_multi_seed\final_six_figures_v5_c5_revised_20260804_r2\fig1\metrics\panel_c_statistics.csv
